stock_id,start,end,measure,market
8043,2025-11-25,2025-12-08,20分撮合,上櫃
8043,2026-04-20,2026-05-04,5分撮合,上櫃
8046,2026-01-22,2026-02-04,5分撮合,上市
8046,2026-01-27,2026-02-09,20分撮合,上市
8046,2026-03-02,2026-03-13,20分撮合,上市
8096,2026-07-16,2026-07-29,20分撮合,上櫃
80962,2026-07-16,2026-07-29,20分撮合,上櫃
80963,2026-07-16,2026-07-29,20分撮合,上櫃
8155,2026-03-24,2026-04-08,5分撮合,上櫃
8261,2026-07-09,2026-07-24,5分撮合,上市
8291,2026-07-16,2026-07-29,5分撮合,上櫃
8299,2025-09-17,2025-10-01,5分撮合,上櫃
8299,2025-10-13,2025-10-27,20分撮合,上櫃
8299,2026-01-07,2026-01-20,5分撮合,上櫃
8358,2025-08-19,2025-09-01,5分撮合,上櫃
8358,2025-10-21,2025-11-04,5分撮合,上櫃
8358,2025-11-06,2025-11-19,20分撮合,上櫃
8358,2025-11-26,2025-12-09,20分撮合,上櫃
8358,2025-12-17,2025-12-31,20分撮合,上櫃
8358,2026-01-09,2026-01-22,20分撮合,上櫃
8358,2026-01-30,2026-02-23,20分撮合,上櫃
8358,2026-03-06,2026-03-19,20分撮合,上櫃
8358,2026-04-22,2026-05-06,5分撮合,上櫃
8358,2026-05-15,2026-05-28,20分撮合,上櫃
8358,2026-06-05,2026-06-18,20分撮合,上櫃
8383,2026-07-20,2026-07-31,5分撮合,上櫃
8996,2025-10-20,2025-11-03,5分撮合,上市
8996,2025-11-11,2025-11-24,20分撮合,上市
8996,2025-12-08,2025-12-19,20分撮合,上市
8996,2026-01-16,2026-01-29,20分撮合,上市
8996,2026-02-25,2026-03-11,20分撮合,上市
8996,2026-04-15,2026-04-28,5分撮合,上市
8996,2026-06-24,2026-07-07,5分撮合,上市
911608,2026-07-06,2026-07-17,5分撮合,上市
